Archilestes grandis
Argia apicalis
Argia fumipennis
Argia moesta
Argia sedula
Argia tibialis
Argia translata
Basiaeschna janata
Boyeria grafiana
Boyeria vinosa
Calopteryx aequabilis
Calopteryx amata
Calopteryx angustipennis
Calopteryx dimidiata
Calopteryx maculata
Cordulegaster bilineata
Cordulegaster diastatops
Cordulegaster erronea
Cordulegaster maculata
Cordulegaster obliqua
Didymops transversa
Dromogomphus spinosus
Dromogomphus spoliatus
Dythemis velox
Enallagma anna
Enallagma antennatum
Enallagma carunculatum
Enallagma civile
Enallagma divagans
Enallagma durum
Enallagma exsulans
Enallagma geminatum
Enallagma pallidum
Enallagma signatum
Enallagma vernale
Enallagma vesperum
Enallagma weewa
Epitheca cynosura
Epitheca princeps
Erpetogomphus designatus
Gomphus abbreviatus
Gomphus adelphus
Gomphus apomyius
Gomphus consanguis
Gomphus descriptus
Gomphus exilis
Gomphus fraternus
Gomphus lineatifrons
Gomphus lividus
Gomphus parvidens
Gomphus quadricolor
Gomphus rogersi
Gomphus septima delawarensis
Gomphus septima septima
Gomphus vastus
Gomphus ventricosus
Gomphus viridifrons
Hagenius brevistylus
Helocordulia selysii
Helocordulia uhleri
Hetaerina americana
Hetaerina titia
Ischnura posita
Ischnura verticalis
Lanthus parvulus
Lanthus vernalis
Libellula cyanea
Libellula incesta
Libellula luctuosa
Libellula pulchella
Macromia alleghaniensis
Macromia illinoiensis
Macromia margarita
Macromia taeniolata
Neurocordulia michaeli
Neurocordulia molesta
Neurocordulia obsoleta
Neurocordulia virginiensis
Neurocordulia yamaskanensis
Ophiogomphus anomalus
Ophiogomphus aspersus
Ophiogomphus carolus
Ophiogomphus colubrinus
Ophiogomphus howei
Ophiogomphus incurvatus
Ophiogomphus mainensis
Ophiogomphus rupinsulensis
Ophiogomphus susbehcha
Pachydiplax longipennis
Perithemis tenera
Plathemis lydia
Progomphus obscurus
Somatochlora minor
Stylogomphus albistylus
Stylogomphus sigmastylus
Stylurus amnicola
Stylurus laurae
Stylurus notatus
Stylurus plagiatus
Stylurus scudderi
Stylurus spiniceps
Tachopteryx thoreyi
